INSTNM,CITY,STABBR,ZIP,COSTT4_A
Alabama A & M University,Normal,AL,35762,22886
University of Alabama at Birmingham,Birmingham,AL,35294-0110,24129
Amridge University,Montgomery,AL,36117-3553,15080
University of Alabama in Huntsville,Huntsville,AL,35899,22108
Alabama State University,Montgomery,AL,36104-0271,19413
The University of Alabama,Tuscaloosa,AL,35487-0166,28836
Central Alabama Community College,Alexander City,AL,35010,10045
Athens State University,Athens,AL,35611,NULL
Auburn University at Montgomery,Montgomery,AL,36117-3596,19892
Auburn University,Auburn,AL,36849,30458
Birmingham Southern College,Birmingham,AL,35254,50400
Chattahoochee Valley Community College,Phenix City,AL,36869,6854
Concordia College Alabama,Selma,AL,36701,27620
South University-Montgomery,Montgomery,AL,36116,26613
Enterprise State Community College,Enterprise,AL,36330-1300,9289
Coastal Alabama Community College,Bay Minette,AL,36507-2698,12558
Faulkner University,Montgomery,AL,36109-3390,31720
Gadsden State Community College,Gadsden,AL,35903,9701
New Beginning College of Cosmetology,Albertville,AL,35951,NULL
George C Wallace Community College-Dothan,Dothan,AL,36303-9234,9298
George C Wallace State Community College-Hanceville,Hanceville,AL,35077-2000,11408
George C Wallace State Community College-Selma,Selma,AL,36703-2808,14571
Herzing University-Birmingham,Birmingham,AL,35209,27797
Huntingdon College,Montgomery,AL,36106-2148,34675
Heritage Christian University,Florence,AL,35630-9977,NULL
J. F. Drake State Community and Technical College,Huntsville,AL,35811,11514
J F Ingram State Technical College,Deatsville,AL,36022,5496
Jacksonville State University,Jacksonville,AL,36265,20890
Jefferson Davis Community College,Brewton,AL,36426,11677
Jefferson State Community College,Birmingham,AL,35215-3098,13017
John C Calhoun State Community College,Tanner,AL,35671,9907
Judson College,Marion,AL,36756,30306
Lawson State Community College,Birmingham,AL,35221-1717,13685
University of West Alabama,Livingston,AL,35470,19671
Lurleen B Wallace Community College,Andalusia,AL,36420-1418,13663
Marion Military Institute,Marion,AL,36756-3207,18568
Miles College,Fairfield,AL,35064-2621,22346
University of Mobile,Mobile,AL,36613-2842,35256
University of Montevallo,Montevallo,AL,35115-6000,23938
Northwest-Shoals Community College,Muscle Shoals,AL,35661,11386
University of North Alabama,Florence,AL,35632-0001,18223
Northeast Alabama Community College,Rainsville,AL,35986,8350
Oakwood University,Huntsville,AL,35896,35577
Alabama Southern Community College,Monroeville,AL,36460,11265
Reid State Technical College,Evergreen,AL,36401,8804
Bishop State Community College,Mobile,AL,36603-5898,10349
Samford University,Birmingham,AL,35229-2240,44896
Selma University,Selma,AL,36701,NULL
Shelton State Community College,Tuscaloosa,AL,35405-8522,11414
Snead State Community College,Boaz,AL,35957-0734,10704
University of South Alabama,Mobile,AL,36688-0002,18857
Spring Hill College,Mobile,AL,36608-1791,50787
Stillman College,Tuscaloosa,AL,35401,20205
Talladega College,Talladega,AL,35160,22314
H Councill Trenholm State Community College,Montgomery,AL,36108-3199,11798
Troy University,Troy,AL,36082-0001,18585
Tuskegee University,Tuskegee,AL,36088-1920,36673
United States Sports Academy,Daphne,AL,36526-7055,NULL
Bevill State Community College,Jasper,AL,35501,13164
University of Alaska Anchorage,Anchorage,AK,99508,19126
Alaska Bible College,Palmer,AK,99645,19560
University of Alaska Fairbanks,Fairbanks,AK,99775,17168
University of Alaska Southeast,Juneau,AK,99801-8697,19176
Alaska Pacific University,Anchorage,AK,99508,32489
AVTEC-Alaska's Institute of Technology,Seward,AK,99664-0889,NULL
Charter College,Vancouver,WA,98683-7575,35332
Alaska Career College,Anchorage,AK,99507-1033,NULL
Empire Beauty School-Tucson,Tucson,AZ,85716,NULL
Thunderbird School of Global Management,Glendale,AZ,85306-6000,NULL
American Institute of Trucking,Phoenix,AZ,85043-4380,NULL
Carrington College-Phoenix North,Phoenix,AZ,85051-4063,NULL
Carrington College-Mesa,Mesa,AZ,85210,NULL
Carrington College-Tucson,Tucson,AZ,85745,NULL
CollegeAmerica-Flagstaff,Flagstaff,AZ,86001,31920
Arizona Academy of Beauty-East,Tucson,AZ,85712,NULL
Platt College-Arizona Automotive Institute Arizona,Glendale,AZ,85301-3579,NULL
Brookline College-Phoenix,Phoenix,AZ,85021,NULL
Arizona State University-Tempe,Tempe,AZ,85287,24353
Arizona Western College,Yuma,AZ,85365-8834,14774
University of Arizona,Tucson,AZ,85721-0066,26080
Southwest University of Visual Arts-Tucson,Tucson,AZ,85716,31146
Central Arizona College,Coolidge,AZ,85128-9030,10643
Charles of Italy Beauty College,Lake Havasu City,AZ,86403,NULL
Cochise County Community College District,Sierra Vista,AZ,85635-2317,10987
Empire Beauty School-Flagstaff,Flagstaff,AZ,86004,NULL
Empire Beauty School-Chandler,Chandler,AZ,85224,NULL
Cortiva Institute-Tucson,Tucson,AZ,85710,NULL
Avalon School of Cosmetology-Mesa,Mesa,AZ,85210,NULL
Eastern Arizona College,Thatcher,AZ,85552-0769,13128
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,86301-3720,49912
School of Architecture at Taliesin,Scottsdale,AZ,85259,NULL
Glendale Community College,Glendale,AZ,85302,11472
Grand Canyon University,Phoenix,AZ,85017,31051
GateWay Community College,Phoenix,AZ,85034,12967
Mesa Community College,Mesa,AZ,85202,12302
Mohave Community College,Kingman,AZ,86409-1238,12394
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Phoenix,AZ,85027,NULL
Dine College,Tsaile,AZ,86556,11187
Northern Arizona University,Flagstaff,AZ,86011-4092,26314
